path|git_timestamp|file_size|first_heading
./ACTIVITY_RELIABILITY_SOLUTION.md|1770499467|18886|Activity System Reliability - Complete Solution
./ACTIVITY_EXECUTION_FIX_REPORT.md|1770499218|11356|Activity Execution System Fix - Complete Report
./ALGORITHMIC_VALIDATION_STRATEGY.md|1770498757|8645|Algorithmic Validation Strategy - Using Metabob Component Tracking
./TRACEABLE_DATA_FLOW.md|1770498675|19697|Traceable Data Flow - Using Metabob for Debugging
./EMPIRICAL_VALIDATION_FRAMEWORK.md|1770498515|9996|Empirical Validation Framework - Activity & Memory Agent System
./ACTIVITY_ORCHESTRATION_FIXES.md|1770498289|9272|Activity Orchestration - Fixes Applied
./ACTIVITY_ORCHESTRATION_ISSUE.md|1770498104|8797|Activity Orchestration Issue - Analysis
./JIGGLE_ACTIVITY_READY.md|1770497815|7960|✅ Jiggle Documentation Activity - READY FOR USE
./JIGGLE_ACTIVITY_STATUS.md|1770497765|14798|Jiggle Documentation Activity - Current Status & Usage Guide
./test-jiggle-activity-now.md|1770497679|2489|Testing Jiggle-Documentation Activity
./MISSION_COMPLETE.md|1770497073|16603|🎉 MISSION COMPLETE: Activity Execution with Thompson Sampling Learning
./ACTIVITY_TOOL_INTEGRATION_VISUAL.md|1770496826|12255|ActivityTool MCP Integration - Visual Summary
./ACTIVITY_TOOL_MCP_INTEGRATION_COMPLETE.md|1770496744|12590|ActivityTool MCP Integration - Implementation Complete
./TUI_SIDEBAR_ISSUE.md|1770496145|8913|TUI Sidebar Not Reflecting Impulse State - Investigation
./ACTUAL_EXECUTION_SEQUENCE.md|1770495949|9539|Actual Execution Sequence - From Production Logs
./NEW_TOOL_BASED_SEQUENCE.md|1770495907|8982|Tool-Based Memory Agent - Actual Execution Sequence
./SESSION_COMPLETE_MCP_EXECUTION.md|1770444735|7582|Session Complete: MCP Activity Execution Flow
./FINAL_VERIFICATION_SUMMARY.md|1770444691|9109|Final Verification Summary: Activity Execution Flow Implementation
./README_MCP_EXECUTION.md|1770444461|7350|MCP Activity Execution Implementation
./MCP_METHODS_QUICK_REFERENCE.md|1770444356|7539|MCP Activity Execution Methods - Quick Reference
./TASK_COMPLETION_SUMMARY.md|1770444262|9450|Task Completion Summary: MCP Activity Execution Flow Implementation
./MCP_EXECUTION_IMPLEMENTATION_DELIVERABLE.md|1770444213|13001|MCP Activity Execution Implementation - Deliverable Summary
./repos/metabob-opencode/INTEGRATION_GUIDE_MCP_EXECUTION.md|1770444142|11330|Integration Guide: MCP Activity Execution Flow
